source|title|text
https://ragnarok-official.com|Record of Ragnarok|"### Record of Ragnarok

* TV Show name : Record of Ragnarok
* Number of seasons  : 2
* Number of episodes : 27
* Original language : ja
* First diffusion / Air date : 2021-06-17
* Last diffusion / Air date : 2023-07-12
* Show created by : nan
* Genres : Animation, Action & Adventure, Sci-Fi & Fantasy

#### Overview of Record of Ragnarok
Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.


"
https://program.imbc.com/Tomorrow|Tomorrow|"### Tomorrow

* TV Show name : Tomorrow
* Number of seasons  : 1
* Number of episodes : 16
* Original language : ko
* First diffusion / Air date : 2022-04-01
* Last diffusion / Air date : 2022-05-21
* Show created by : Llama
* Genres : Drama, Sci-Fi & Fantasy, Action & Adventure

#### Overview of Tomorrow
Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.


"
https://gamera-rebirth.com|GAMERA -Rebirth-|"### GAMERA -Rebirth-

* TV Show name : GAMERA -Rebirth-
* Number of seasons  : 1
* Number of episodes : 6
* Original language : ja
* First diffusion / Air date : 2023-09-07
* Last diffusion / Air date : 2023-09-07
* Show created by : nan
* Genres : Animation, Sci-Fi & Fantasy, Action & Adventure

#### Overview of GAMERA -Rebirth-
In the summer of 1989, four kids in Tokyo witness the emergence of the turtle kaiju Gamera, who bravely stands up against giant human-eating monsters.


"
https://www.netflix.com/title/80223989|Chilling Adventures of Sabrina|"### Chilling Adventures of Sabrina

* TV Show name : Chilling Adventures of Sabrina
* Number of seasons  : 2
* Number of episodes : 36
* Original language : en
* First diffusion / Air date : 2018-10-26
* Last diffusion / Air date : 2020-12-31
* Show created by : Roberto Aguirre-Sacasa
* Genres : Mystery, Sci-Fi & Fantasy, Drama

#### Overview of Chilling Adventures of Sabrina
As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.


"
https://www.netflix.com/title/80221337|Glitch Techs|"### Glitch Techs

* TV Show name : Glitch Techs
* Number of seasons  : 2
* Number of episodes : 19
* Original language : en
* First diffusion / Air date : 2020-02-21
* Last diffusion / Air date : 2020-08-17
* Show created by : Dan Milano, Eric Robles
* Genres : Animation, Sci-Fi & Fantasy, Kids

#### Overview of Glitch Techs
Game-world monsters are wreaking real-world havoc. Here comes tech support!


"
https://www.netflix.com/title/80100172|Dark|"### Dark

* TV Show name : Dark
* Number of seasons  : 3
* Number of episodes : 26
* Original language : de
* First diffusion / Air date : 2017-12-01
* Last diffusion / Air date : 2020-06-27
* Show created by : Baran bo Odar, Jantje Friese
* Genres : Drama, Sci-Fi & Fantasy, Mystery

#### Overview of Dark
A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.


"
https://thesandman.com|The Sandman|"### The Sandman

* TV Show name : The Sandman
* Number of seasons  : 1
* Number of episodes : 11
* Original language : en
* First diffusion / Air date : 2022-08-05
* Last diffusion / Air date : 2022-08-19
* Show created by : David S. Goyer, Neil Gaiman, Allan Heinberg
* Genres : Sci-Fi & Fantasy, Drama

#### Overview of The Sandman
After years of imprisonment, Morpheus — the King of Dreams — embarks on a journey across worlds to find what was stolen from him and restore his power.


"
https://mtv.jtbc.co.kr/behindyourtouch|Behind Your Touch|"### Behind Your Touch

* TV Show name : Behind Your Touch
* Number of seasons  : 1
* Number of episodes : 16
* Original language : ko
* First diffusion / Air date : 2023-08-12
* Last diffusion / Air date : 2023-10-01
* Show created by : Kim Sok-yun, Lee Nam-kyu
* Genres : Drama, Comedy, Sci-Fi & Fantasy, Mystery

#### Overview of Behind Your Touch
A psychic vet and a detective join forces to crack small-town cases — but their skills are tested when they unravel a chilling serial killer mystery


"
https://www.netflix.com/title/80186863|The Umbrella Academy|"### The Umbrella Academy

* TV Show name : The Umbrella Academy
* Number of seasons  : 4
* Number of episodes : 32
* Original language : en
* First diffusion / Air date : 2019-02-15
* Last diffusion / Air date : 2022-06-22
* Show created by : Steve Blackman
* Genres : Action & Adventure, Sci-Fi & Fantasy, Drama

#### Overview of The Umbrella Academy
A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.


"
https://www.hbo.com/the-nevers|The Nevers|"### The Nevers

* TV Show name : The Nevers
* Number of seasons  : 1
* Number of episodes : 6
* Original language : en
* First diffusion / Air date : 2021-04-11
* Last diffusion / Air date : 2021-05-16
* Show created by : Joss Whedon
* Genres : Sci-Fi & Fantasy, Drama

#### Overview of The Nevers
In the last years of Victoria's reign, London is beset by the ""Touched"": people — mostly women — who suddenly manifest abnormal abilities, some charming, some very disturbing. Among them are Amalia True, a mysterious, quick-fisted widow, and Penance Adair, a brilliant young inventor. They are the champions of this new underclass, making a home for the Touched, while fighting the forces of… well, pretty much all the forces — to make room for those whom history as we know it has no place.


"
